file_name,pages,file_size_kb,has_text,word_count,character_count,status,error
csspremsobcsi.pdf,2,24.72,True,1382,9796,Valid,
cssrbl.pdf,2,25.62,True,1571,11960,Valid,
csss copy.pdf,2,25.51,True,1642,11076,Valid,
csss-cus.pdf,2,31.77,True,2346,16512,Valid,
csss.pdf,2,25.51,True,1642,11076,Valid,
csssscspscc.pdf,1,19.86,True,683,5271,Valid,
csy-j copy.pdf,2,25.11,True,1373,9863,Valid,
csy-j.pdf,2,25.11,True,1373,9863,Valid,
csy.pdf,2,25.73,True,1476,10615,Valid,
ctms copy.pdf,3,36.36,True,3182,21750,Valid,
ctms.pdf,3,36.36,True,3182,21750,Valid,
cts.pdf,2,24.28,True,1367,9826,Valid,
cuy.pdf,1,22.56,True,1212,8440,Valid,
cvcis.pdf,2,26.19,True,1517,11059,Valid,
cvsaakbamrsanklsay copy.pdf,1,20.73,True,944,6825,Valid,
cvsaakbamrsanklsay.pdf,1,20.73,True,944,6825,Valid,
cvy-citus.pdf,2,31.36,True,2403,17259,Valid,
cvy-emps.pdf,2,26.62,True,1744,12533,Valid,
cvy-sumcy.pdf,2,28.47,True,1974,14462,Valid,
cwsiass(1).pdf,2,25.77,True,1496,10409,Valid,
cwsiass(2).pdf,2,25.77,True,1496,10409,Valid,
cwsiass.pdf,2,25.77,True,1496,10409,Valid,
da-60ada copy.pdf,1,19.62,True,803,6085,Valid,
da-60ada.pdf,1,19.62,True,803,6085,Valid,
daanbocwwb copy.pdf,1,21.64,True,1076,8143,Valid,
daanbocwwb.pdf,1,21.64,True,1076,8143,Valid,
daay copy.pdf,2,24.42,True,1350,9683,Valid,
daay.pdf,2,24.42,True,1350,9683,Valid,
dacssiselosobcebc copy.pdf,2,24.22,True,1408,10236,Valid,
dacssiselosobcebc.pdf,2,24.22,True,1408,10236,Valid,
dacsspostmsebcs copy.pdf,2,30.45,True,2215,16054,Valid,
dacsspostmsebcs.pdf,2,30.45,True,2215,16054,Valid,
dak copy.pdf,1,23.12,True,1268,9055,Valid,
dak.pdf,1,23.12,True,1268,9055,Valid,
dalit-bandhu copy.pdf,2,31.27,True,2638,18411,Valid,
dalit-bandhu.pdf,2,31.27,True,2638,18411,Valid,
damcyobcs copy.pdf,1,22.09,True,1181,8559,Valid,
damcyobcs.pdf,1,22.09,True,1181,8559,Valid,
damcyscs copy.pdf,1,22.11,True,1177,8591,Valid,
damcyscs.pdf,1,22.11,True,1177,8591,Valid,
dan copy.pdf,1,19.51,True,727,5424,Valid,
dan.pdf,1,19.51,True,727,5424,Valid,
dapjsss copy.pdf,1,21.03,True,899,6830,Valid,
dapjsss.pdf,1,21.03,True,899,6830,Valid,
